[__main__]: [INFO]: => Creating model 'resnet18'
[__main__]: [INFO]: Number of model parameters: 11201664
[src.eval]: [INFO]: => Runnning full evaluation with method: BDCSPN
[src.eval]: [INFO]:  ==> Features loaded from checkpoints/mini/softmax/resnet18/best/test/output_mean.plk
[src.methods.bdcspn]: [INFO]:  ==> Executing proto-rectification ...
[src.methods.bdcspn]: [INFO]:  ==> Executing predictions on 1 shot tasks ...
[src.methods.bdcspn]: [INFO]:  ==> Executing proto-rectification ...
[src.methods.bdcspn]: [INFO]:  ==> Executing predictions on 1 shot tasks ...
[src.methods.bdcspn]: [INFO]:  ==> Executing proto-rectification ...
[src.methods.bdcspn]: [INFO]:  ==> Executing predictions on 1 shot tasks ...
[src.methods.bdcspn]: [INFO]:  ==> Executing proto-rectification ...
[src.methods.bdcspn]: [INFO]:  ==> Executing predictions on 1 shot tasks ...
[src.methods.bdcspn]: [INFO]:  ==> Executing proto-rectification ...
[src.methods.bdcspn]: [INFO]:  ==> Executing predictions on 1 shot tasks ...
[src.methods.bdcspn]: [INFO]:  ==> Executing proto-rectification ...
[src.methods.bdcspn]: [INFO]:  ==> Executing predictions on 1 shot tasks ...
[src.methods.bdcspn]: [INFO]:  ==> Executing proto-rectification ...
[src.methods.bdcspn]: [INFO]:  ==> Executing predictions on 1 shot tasks ...
[src.methods.bdcspn]: [INFO]:  ==> Executing proto-rectification ...
[src.methods.bdcspn]: [INFO]:  ==> Executing predictions on 1 shot tasks ...
[src.methods.bdcspn]: [INFO]:  ==> Executing proto-rectification ...
[src.methods.bdcspn]: [INFO]:  ==> Executing predictions on 1 shot tasks ...
[src.methods.bdcspn]: [INFO]:  ==> Executing proto-rectification ...
[src.methods.bdcspn]: [INFO]:  ==> Executing predictions on 1 shot tasks ...
[src.methods.bdcspn]: [INFO]:  ==> Executing proto-rectification ...
[src.methods.bdcspn]: [INFO]:  ==> Executing predictions on 5 shot tasks ...
[src.methods.bdcspn]: [INFO]:  ==> Executing proto-rectification ...
[src.methods.bdcspn]: [INFO]:  ==> Executing predictions on 5 shot tasks ...
[src.methods.bdcspn]: [INFO]:  ==> Executing proto-rectification ...
[src.methods.bdcspn]: [INFO]:  ==> Executing predictions on 5 shot tasks ...
[src.methods.bdcspn]: [INFO]:  ==> Executing proto-rectification ...
[src.methods.bdcspn]: [INFO]:  ==> Executing predictions on 5 shot tasks ...
[src.methods.bdcspn]: [INFO]:  ==> Executing proto-rectification ...
[src.methods.bdcspn]: [INFO]:  ==> Executing predictions on 5 shot tasks ...
[src.methods.bdcspn]: [INFO]:  ==> Executing proto-rectification ...
[src.methods.bdcspn]: [INFO]:  ==> Executing predictions on 5 shot tasks ...
[src.methods.bdcspn]: [INFO]:  ==> Executing proto-rectification ...
[src.methods.bdcspn]: [INFO]:  ==> Executing predictions on 5 shot tasks ...
[src.methods.bdcspn]: [INFO]:  ==> Executing proto-rectification ...
[src.methods.bdcspn]: [INFO]:  ==> Executing predictions on 5 shot tasks ...
[src.methods.bdcspn]: [INFO]:  ==> Executing proto-rectification ...
[src.methods.bdcspn]: [INFO]:  ==> Executing predictions on 5 shot tasks ...
[src.methods.bdcspn]: [INFO]:  ==> Executing proto-rectification ...
[src.methods.bdcspn]: [INFO]:  ==> Executing predictions on 5 shot tasks ...
[src.methods.bdcspn]: [INFO]:  ==> Executing proto-rectification ...
[src.methods.bdcspn]: [INFO]:  ==> Executing predictions on 10 shot tasks ...
[src.methods.bdcspn]: [INFO]:  ==> Executing proto-rectification ...
[src.methods.bdcspn]: [INFO]:  ==> Executing predictions on 10 shot tasks ...
[src.methods.bdcspn]: [INFO]:  ==> Executing proto-rectification ...
[src.methods.bdcspn]: [INFO]:  ==> Executing predictions on 10 shot tasks ...
[src.methods.bdcspn]: [INFO]:  ==> Executing proto-rectification ...
[src.methods.bdcspn]: [INFO]:  ==> Executing predictions on 10 shot tasks ...
[src.methods.bdcspn]: [INFO]:  ==> Executing proto-rectification ...
[src.methods.bdcspn]: [INFO]:  ==> Executing predictions on 10 shot tasks ...
[src.methods.bdcspn]: [INFO]:  ==> Executing proto-rectification ...
[src.methods.bdcspn]: [INFO]:  ==> Executing predictions on 10 shot tasks ...
[src.methods.bdcspn]: [INFO]:  ==> Executing proto-rectification ...
[src.methods.bdcspn]: [INFO]:  ==> Executing predictions on 10 shot tasks ...
[src.methods.bdcspn]: [INFO]:  ==> Executing proto-rectification ...
[src.methods.bdcspn]: [INFO]:  ==> Executing predictions on 10 shot tasks ...
[src.methods.bdcspn]: [INFO]:  ==> Executing proto-rectification ...
[src.methods.bdcspn]: [INFO]:  ==> Executing predictions on 10 shot tasks ...
[src.methods.bdcspn]: [INFO]:  ==> Executing proto-rectification ...
[src.methods.bdcspn]: [INFO]:  ==> Executing predictions on 10 shot tasks ...
[src.methods.bdcspn]: [INFO]:  ==> Executing proto-rectification ...
[src.methods.bdcspn]: [INFO]:  ==> Executing predictions on 20 shot tasks ...
[src.methods.bdcspn]: [INFO]:  ==> Executing proto-rectification ...
[src.methods.bdcspn]: [INFO]:  ==> Executing predictions on 20 shot tasks ...
[src.methods.bdcspn]: [INFO]:  ==> Executing proto-rectification ...
[src.methods.bdcspn]: [INFO]:  ==> Executing predictions on 20 shot tasks ...
[src.methods.bdcspn]: [INFO]:  ==> Executing proto-rectification ...
[src.methods.bdcspn]: [INFO]:  ==> Executing predictions on 20 shot tasks ...
[src.methods.bdcspn]: [INFO]:  ==> Executing proto-rectification ...
[src.methods.bdcspn]: [INFO]:  ==> Executing predictions on 20 shot tasks ...
[src.methods.bdcspn]: [INFO]:  ==> Executing proto-rectification ...
[src.methods.bdcspn]: [INFO]:  ==> Executing predictions on 20 shot tasks ...
[src.methods.bdcspn]: [INFO]:  ==> Executing proto-rectification ...
[src.methods.bdcspn]: [INFO]:  ==> Executing predictions on 20 shot tasks ...
[src.methods.bdcspn]: [INFO]:  ==> Executing proto-rectification ...
[src.methods.bdcspn]: [INFO]:  ==> Executing predictions on 20 shot tasks ...
[src.methods.bdcspn]: [INFO]:  ==> Executing proto-rectification ...
[src.methods.bdcspn]: [INFO]:  ==> Executing predictions on 20 shot tasks ...
[src.methods.bdcspn]: [INFO]:  ==> Executing proto-rectification ...
[src.methods.bdcspn]: [INFO]:  ==> Executing predictions on 20 shot tasks ...
[src.eval]: [INFO]: ----- Final test results -----
[src.eval]: [INFO]: 1-shot mean test accuracy over 10000 tasks: 0.8441343307495117
[src.eval]: [INFO]: 1-shot mean hungarian accuracy over 10000 tasks: 0.8538828571428573
[src.eval]: [INFO]: 5-shot mean test accuracy over 10000 tasks: 0.914397120475769
[src.eval]: [INFO]: 5-shot mean hungarian accuracy over 10000 tasks: 0.9147885714285714
[src.eval]: [INFO]: 10-shot mean test accuracy over 10000 tasks: 0.9308713674545288
[src.eval]: [INFO]: 10-shot mean hungarian accuracy over 10000 tasks: 0.9309228571428573
[src.eval]: [INFO]: 20-shot mean test accuracy over 10000 tasks: 0.9405242204666138
[src.eval]: [INFO]: 20-shot mean hungarian accuracy over 10000 tasks: 0.94055
